Kalshi_Event,Polymarket_Event,Similarity_Score,Timeframes_Match,Entities_Match,Kalshi_Timeframes,Polymarket_Timeframes,Kalshi_Entities,Polymarket_Entities,kalshi_yes,kalshi_no,polymarket_yes,polymarket_no,arb1,arb2
Who will release an album in 2025? In 2025 - Harry Styles,Will Harry Styles release an album in 2025?,87.5,True,True,['2025'],['2025'],"['Harry Styles', '2025']","['Will Harry Styles', '2025']",6,97,29.5,70.5,-26.5,23.5
Who will release an album in 2025? In 2025 - Frank Ocean,Will Frank Ocean release an album in 2025?,87.2340425531915,True,True,['2025'],['2025'],"['Frank Ocean', '2025']","['Will Frank Ocean', '2025']",8,94,25.5,74.5,-19.5,17.5
Will gold outperform Bitcoin in 2025? In 2025 - In 2025,Will Bitcoin outperform Gold in 2025?,81.81818181818181,True,True,"['2026', '2025']",['2025'],['2025'],"['Will Bitcoin', '2025']",98,4,8.5,91.5,87.5,-89.5
US GDP growth in Q4 2025? In Q4 2025 - Greater than 2.5%,Will US GDP growth in Q4 2025 be greater than 3.5%?,80.8080808080808,True,True,"['2026', '2025']","['2026', '2025']","['US', '2025']","['US', '2025']",31,71,9.5,90.5,19.5,-21.5
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - British","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",79.74683544303798,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",73,35,38.0,62.0,27.0,-35.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Cabinet","Will Keir Starmer say ""Cut"" during the next Prime Minister's Questions?",79.2207792207792,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",31,78,64.5,35.5,-42.5,33.5
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Job","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",79.2207792207792,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",87,20,38.0,62.0,42.0,-49.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - BBC","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",79.2207792207792,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",72,37,38.0,62.0,25.0,-34.0
US GDP growth in Q4 2025? In Q4 2025 - Greater than 1.0%,Will US GDP growth in Q4 2025 be greater than 3.5%?,78.78787878787878,True,True,"['2026', '2025']","['2026', '2025']","['US', '2025']","['US', '2025']",85,21,9.5,90.5,69.5,-75.5
US GDP growth in Q4 2025? In Q4 2025 - Greater than 2.0%,Will US GDP growth in Q4 2025 be greater than 3.5%?,78.78787878787878,True,True,"['2026', '2025']","['2026', '2025']","['US', '2025']","['US', '2025']",51,50,9.5,90.5,40.5,-41.5
US GDP growth in Q4 2025? In Q4 2025 - Greater than 1.5%,Will US GDP growth in Q4 2025 be greater than 3.5%?,78.78787878787878,True,True,"['2026', '2025']","['2026', '2025']","['US', '2025']","['US', '2025']",67,37,9.5,90.5,53.5,-57.5
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Trump","Will Keir Starmer say ""Wales"" during the next Prime Minister's Questions?",77.92207792207793,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Keir Starmer', 'Prime Minister', 'Trump', '2025']","['Prime Minister', 'Will Keir Starmer']",37,73,47.0,53.0,-20.0,10.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Clean / Green","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",77.77777777777779,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",73,35,38.0,62.0,27.0,-35.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Tariff","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",77.70700636942675,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Keir Starmer', 'Tariff', 'Prime Minister', '2025']","['Prime Minister', 'Will Keir Starmer']",26,83,38.0,62.0,-21.0,12.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Reform","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",77.70700636942675,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",75,34,38.0,62.0,28.0,-37.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Healthcare","Will Keir Starmer say ""Pension"" during the next Prime Minister's Questions?",77.01863354037268,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Prime Minister', 'Keir Starmer', '2025']","['Prime Minister', 'Will Keir Starmer']",58,50,38.0,62.0,12.0,-20.0
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Trump","Will Keir Starmer say ""Cut"" during the next Prime Minister's Questions?",76.31578947368422,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Keir Starmer', 'Prime Minister', 'Trump', '2025']","['Prime Minister', 'Will Keir Starmer']",37,73,64.5,35.5,-37.5,27.5
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Tariff","Will Keir Starmer say ""Cut"" during the next Prime Minister's Questions?",75.81699346405229,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Keir Starmer', 'Tariff', 'Prime Minister', '2025']","['Prime Minister', 'Will Keir Starmer']",26,83,64.5,35.5,-47.5,38.5
"What will Keir Starmer say at the next Prime Minister's Questions? On Nov 19, 2025 - Trump","Will Keir Starmer say ""Access"" during the next Prime Minister's Questions?",74.83870967741936,True,True,"['november', 'november 2025', '2025']",['2025'],"['On Nov', 'Keir Starmer', 'Prime Minister', 'Trump', '2025']","['Prime Minister', 'Will Keir Starmer']",37,73,61.0,39.0,-34.0,24.0
"F1 Constructors Champion? On Dec 7, 2025 - Racing Bulls",Will Racing Bulls finish fifth in the 2025 F1 Constructors' Championship?,72.1311475409836,True,True,"['december', 'december 2025', '2027', '2025']",['2025'],"['2025', 'On Dec', 'Racing Bulls', 'Constructors Champion']","['Will Racing Bulls', '2025']",1,100,17.549999999999997,82.45,-17.549999999999997,16.549999999999997
"F1 Drivers Champion? On Dec 7, 2025 - Oscar Piastri",Will Oscar Piastri finish third in the 2025 F1 Drivers Championship?,70.17543859649122,True,True,"['december', 'december 2025', '2027', '2025']",['2025'],"['Oscar Piastri', '2025', 'Drivers Champion', 'On Dec']","['Will Oscar Piastri', 'Drivers Championship', '2025']",13,88,33.2,66.8,-21.200000000000003,20.200000000000003
"F1 Drivers Champion? On Dec 7, 2025 - George Russell",Will George Russell finish fourth in the 2025 F1 Drivers Championship?,70.08547008547008,True,True,"['december', 'december 2025', '2027', '2025']",['2025'],"['US', 'On Dec', 'Drivers Champion', 'George Russell', '2025']","['US', 'Will George Russell', 'Drivers Championship', '2025']",1,100,95.85000000000001,4.15,-95.85000000000001,94.85
